title,conductor,composer_id,movement,work_id
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",296
,,,,297
,,,,298
,,,Overture,299
,,,"""Nein, länger trag' ich nicht die Qualen...Durch die Wälder, durch die Auen,"" Max (Scene and Aria), Act I",300
,,,,301
,,,,302
,,,Die Post,303
,,,,304
,,,,305
,,,"Elvira (aria): ""Qui la voce...Vien, diletto""",306
,,,,307
,,,,308
,,,,309
,,,,310
,,,,311
,,,,312
,,,,313
,,,,314
,,,,315
,,,,316
,,,Allegro moderato,317
,,,,318
,,,,319
,,,,320
,,,,321
,,,"""O luce di quest'anima,"" Linda (aria)",322
,,,,323
,,,,324
,,,,325
,,,,326
,,,,327
,,,,328
,,,,329
,,,,330
,,,,331
,,,,332
,,,Overture,333
,,,Moderato,334
,,,,335
,,,,336
,,,,337
,,,,338
,,,,339
,,,Unspecified Duet,340
,,,,341
,,,,342
,,,,343
,,,"""Der Krieges Lust ergeben,"" (aria)",344
,,,,345
,,,Aria [unspecified],346
,,,Overture,347
,,,,348
,,,,349
,,,"""Crudele! Ah! mio bene...Non mi dir,"" Donna Anna, Act II, scene xiii",350
,,,,351
,,,,352
,,,,353
,,,,354
,,,,355
,,,Overture,356
,,,,357
,,,Ave Maria,358
,,,,359
,,,,360
,,,,361
,,,"Air (Soprano): Rejoice greatly, O daughter of Zion",362
,,,,363
,,,,364
,,,"""Sonst Spielt'ich Mit Zepter"" (or ""Song of the Tsar""), Tsar (aria)",365
,,,,366
,,,,367
,,,Overture,368
,,,Romance: Larghetto,369
,,,Rondo: Vivace,370
,,,Aria (Unspecified),371
,,,,372
,,,,373
,,,"""Der Krieges Lust ergeben,"" (aria)",374
,,,,375
,,,,376
,,,,377
,,,,378
,,,,379
,,,Overture,380
,,,,381
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",382
,,,,383
,,,,384
,,,,385
,,,"""Casta Diva... Fine al rito,"" Norma (Cavatina and Cabaletta)",386
,,,,387
,,,,388
,,,,389
,,,"""O mio Fernando,"" Leonora di Gusman (aria)",390
,,,,391
,,,,392
,,,Overture,393
,,,"""Una voce poco fa,"" Rosina (cavatina)",394
,,,Movement I,395
,,,Overture,396
,,,,397
,,,Recitativo and Aria (Unspecified),398
,,,"""Per Pieta,"" Fiordiligi, Act II, scene vii",399
,,,,400
,,,,401
,,,,402
,,,,403
,,,"""Der Krieges Lust ergeben,"" (aria)",404
,,,Overture,405
,,,,406
,,,Chorus (The People): Yet doth the Lord see it not,407
,,,Trio (Angels) Lift thine eyes,408
,,,"Chorus (Angels): He, watching over Israel",409
,,,,410
,,,Overture [Dresden],411
,,,,412
,,,"Act I, Finale",413
,,,Overture,414
,,,,415
,,,Recitative and Aria (unspecified),416
,,,,417
,,,,418
,,,Romance: Larghetto,419
,,,Rondo: Vivace,420
,,,,421
,,,,422
,,,,423
,,,"17. O God, have mercy upon me, Aria",424
,,,Movement I,425
,,,,426
,,,Overture,427
,,,,428
,,,,429
,,,,430
,,,Overture [Dresden],431
,,,,432
,,,"""Ella piangea la perfida,"" (romanza)",433
,,,,434
,,,,435
,,,,436
,,,Allegro brillante,437
,,,"""Il balen del suo sorriso...per me, ora fatale,"" Il Conte di Luna (aria), Act II, scene ii",438
,,,Overture,439
,,,,440
,,,,441
,,,,442
,,,Overture,443
,,,,444
,,,,445
,,,,446
,,,,447
,,,Allegro moderato,448
,,,"""Tregua e cogli Unni... Dagl'immortali vertici,"" Ezio (Scena and Aria), Act II",449
,,,,450
,,,,451
,,,"""Ella piangea la perfida,"" (romanza)",452
,,,,453
,,,,454
,,,Overture,455
,,,,456
,,,"""Crudele! Ah! mio bene...Non mi dir,"" Donna Anna, Act II, scene xiii",457
,,,,458
,,,,459
,,,Overture,460
,,,"Etude in C major, Op. 10 No. 1 (d'Arpeges)",461
,,,,462
,,,,463
,,,,464
,,,,465
,,,,466
,,,"""Parto, Parto, ma tuo ben mio,"" Sesto, Act I, scene viii",467
,,,Allegro patetica,468
,,,,469
,,,,470
,,,"""I tuoi frequenti palpiti,"" (aria)",471
,,,,472
,,,,473
,,,Overture,474
,,,,475
,,,Auf starkem Fittige schwinget sich der Adler stolz (On Mighty Pens the Eagle Proudly Soars Aloft),476
,,,,477
,,,,478
,,,,479
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",480
,,,,481
,,,,482
,,,Overture,483
,,,,484
,,,"Aria (Soprano) Hear ye, Israel; hear what the Lord speaketh",485
,,,,486
,,,,487
,,,,488
,,,"""En vain J'espère,"" Isabelle (aria), Act II",489
,,,Overture,490
,,,1. Scherzo: Allegro vivace,491
,,,5. Intermezzo (Entr'acte): Allegro appassionato,492
,,,,493
,,,7. Nocturne: Andante tranquillo,494
,,,9. Wedding March: Allegro vivace,495
,,,,496
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",497
,,,,498
,,,,499
,,,Overture,500
,,,,501
,,,"Elvira (aria): ""Qui la voce...Vien, diletto""",502
,,,,503
,,,,504
,,,,505
,,,"""Dies Bildnis ist bezaubernd,"" Tamino, Act I, scene i",506
,,,,507
,,,,508
,,,,509
,,,Cavatina [unspecified],510
,,,,511
,,,Overture,512
,,,,513
,,,"""Vedrai, carino,"" Zerlina, Act II",514
,,,,515
,,,,516
,,,,517
,,,Larghetto,518
,,,Allegro agitato,519
,,,"Fides (aria): ""Ah, mon fils!""",520
,,,"""Voi che sapete,"" Cherubino, Act II, scene ii",521
,,,,522
,,,Overture,523
,,,,524
,,,"""Crudele! Ah! mio bene...Non mi dir,"" Donna Anna, Act II, scene xiii",525
,,,,526
,,,,527
,,,,528
,,,,529
,,,,530
,,,Overture [Dresden],531
,,,,532
,,,"""Parto, Parto, ma tuo ben mio,"" Sesto, Act I, scene viii",533
,,,Recitativo and Aria (Unspecified),534
,,,,535
,,,,536
,,,,537
,,,Movement I,538
,,,"""The Harp in the Air""",539
,,,,540
,,,Overture,541
,,,,542
,,,,543
,,,"""O welche lust,"" Prisoners' Chorus",544
,,,,545
,,,Overture,546
,,,,547
,,,Recitative and Chorus (unspecified),548
,,,,549
,,,,550
,,,,551
,,,[unspecified aria],552
,,,Romance: Larghetto,553
,,,Rondo: Vivace,554
,,,,555
,,,,556
,,,,557
,,,,558
,,,,559
,,,,560
,,,,561
,,,,562
,,,"""Der Krieges Lust ergeben,"" (aria)",563
,,,,564
,,,,565
,,,,566
,,,,567
,,,,568
,,,,569
,,,Overture,570
,,,,571
,,,"""Nobles Seigneurs salut!"" Urbain (recit and cavatina)",572
,,,,573
,,,,574
,,,,575
,,,"""Where the Bee Sucks,"" (aria)",576
,,,,577
,,,"Polonaise in A-flat major, Op.53, No.7",578
,,,,579
,,,Overture,580
,,,,581
,,,,582
,,,,583
,,,"""Il mio tesoro intanto,"" Don ottavio, Act II, scene x",584
,,,,585
,,,Act I: Prelude,586
,,,,587
,,,,588
,,,Overture,589
,,,Larghetto - Allegretto (Finale),590
,,,,591
,,,,592
,,,,593
,,,,594
,,,Adagio un poco moto,595
,,,Rondo: Allegro ma non troppo,596
,,,Ave Maria,597
,,,,598
,,,,599
,,,Overture,600
,,,,601
,,,"""O zittre nicht, mein lieber Sohn"" (Oh, tremble not, my beloved son), Konigen der Nacht, Act I, scene i",602
,,,,603
,,,,604
,,,Overture,605
,,,,606
,,,"""C'est l'historie amoureuse"" (Laughing Song)",607
,,,,608
,,,,609
,,,,610
,,,"""Tregua e cogli Unni... Dagl'immortali vertici,"" Ezio (Scena and Aria), Act II",611
,,,,612
,,,,613
,,,,614
,,,,615
,,,Romanza [unspecified],616
,,,,617
,,,Overture,618
,,,Overture,619
,,,,620
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",621
,,,"""Dies Bildnis ist bezaubernd,"" Tamino, Act I, scene i",622
,,,,623
,,,,624
,,,,625
,,,,626
,,,,627
,,,"""Va! Va! dit-elle, va, mon enfant,"" Alice (aria), Act I",628
,,,,629
,,,,630
,,,,631
,,,"""Allmächt'ge Jungfrau, hör mein Flehen!"" (Elizabeth's Prayer), Act III, scene i",632
,,,,633
,,,,634
,,,,635
,,,,636
,,,,637
,,,,638
,,,,639
,,,,640
,,,,641
,,,,642
,,,,643
,,,,644
,,,,645
,,,,646
,,,,647
,,,,648
,,,Overture [Dresden],649
,,,,650
,,,,651
,,,,652
,,,,653
,,,,654
,,,,655
,,,,656
,,,,657
,,,,658
,,,,659
,,,,660
,,,,661
,,,Overture,662
,,,,663
,,,,664
,,,,665
,,,"""O Father, whose almighty power"" (Chorus)",666
,,,,667
,,,,668
,,,,669
,,,,670
,,,,671
,,,Excerpt unspecified,672
,,,"""Duo del Belisario"" (duet)",673
,,,"Semiramide (cavatina): ""Bel raggio lusinghier""",674
,,,,675
,,,"""But as for his People"" (Chorus)",676
,,,,677
,,,"""Infelice! e tuo credevi,"" Silva, Act I, scene ix",678
,,,,679
,,,,680
,,,,681
,,,,682
,,,,683
,,,"""Una voce poco fa,"" Rosina (cavatina)",684
,,,,685
,,,,686
,,,"""Care Compagne... Come per me serena,"" Amina (recitative and cavatina)",687
,,,,688
,,,,689
,,,,690
,,,"""I tuoi frequenti palpiti,"" (aria)",691
,,,,692
,,,,693
,,,Overture,694
,,,,695
,,,,696
,,,,697
,,,,698
,,,,699
,,,,700
,,,,701
,,,,702
,,,Aria (Elijah): It is enough!,703
,,,Allegro con brio,704
,,,,705
,,,,706
,,,"Forth (aria): ""Ah!, per sempre...Bel sogno beato""",707
,,,,708
,,,,709
,,,,710
,,,,711
,,,,712
,,,,713
,,,,714
,,,"""Widmung""",715
,,,,716
,,,Overture,717
,,,,718
,,,Movement I,719
,,,,720
,,,,721
,,,,722
,,,,723
,,,Overture,724
,,,,725
,,,,726
,,,,727
,,,Overture,728
,,,,729
,,,,730
,,,,731
,,,Overture,732
,,,,733
,,,,734
,,,,735
,,,,736
,,,,737
,,,"""Non più andrai,"" Figaro, Act I, scene viii",738
,,,,739
,,,,740
,,,,741
,,,,742
,,,Das Wandern,743
,,,,744
,,,,745
,,,,746
,,,,747
,,,,748
,,,,749
,,,,750
,,,Overture [Dresden],751
,,,,752
,,,Mit Wurd' und Hoheit angetan (In Native Worth and Honor Clad),753
,,,Andante,754
,,,Rondo Russe,755
,,,,756
,,,,757
,,,,758
,,,,759
,,,,760
,,,,761
,,,,762
,,,,763
,,,,764
,,,,765
,,,,766
,,,,767
,,,,768
,,,"Polonaise in A-flat major, Op.53, No.7",769
,,,,770
,,,,771
,,,,772
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",773
,,,,774
,,,,775
,,,,776
,,,,777
,,,,778
,,,,779
,,,Overture,780
,,,,781
,,,"""Crudele! Ah! mio bene...Non mi dir,"" Donna Anna, Act II, scene xiii",782
,,,,783
,,,,784
,,,,785
,,,,786
,,,,787
,,,,788
,,,Overture,789
,,,,790
,,,,791
,,,Act I: Prelude,792
,,,,793
,,,,794
,,,,795
,,,Overture,796
,,,,797
,,,"""E Susanna non vien ... Dove sono""",798
,,,Allegro ma non troppo,799
,,,,800
,,,,801
,,,,802
,,,"""Unter bluh'nden Mandelbäumen,"" Adolar (romanza), Act 1, Nr. 2",803
,,,"""Una voce poco fa,"" Rosina (cavatina)",804
,,,,805
,,,,806
,,,"Fides (aria): ""Ah, mon fils!""",807
,,,,808
,,,Aria (Unspecified),809
,,,,810
,,,,811
,,,,812
,,,,813
,,,Aria (unspecified),814
,,,,815
,,,"""Unter bluh'nden Mandelbäumen,"" Adolar (romanza), Act 1, Nr. 2",816
,,,,817
,,,,818
,,,,819
,,,,820
,,,,821
,,,,822
,,,Overture,823
,,,,824
,,,,825
,,,,826
,,,,827
,,,,828
,,,,829
,,,Overture,830
,,,,831
,,,,832
,,,,833
,,,,834
,,,,835
,,,,836
,,,,837
,,,Overture,838
,,,,839
,,,,840
,,,,841
,,,Overture,842
,,,,843
,,,,844
,,,,845
,,,,846
,,,,847
,,,,848
,,,,849
,,,,850
,,,Marcia funebre: Adagio assai,851
,,,Recitative (Tenor): Comfort ye my people,852
,,,"Allegro ma non troppo, un poco maestoso",853
,,,Molto vivace (Scherzo),854
,,,Adagio molto e cantabile — Andante moderato,855
,,,,856
,,,"Act I, Finale",857
,,,,858
,,,,859
,,,,860
,,,,861
,,,,862
,,,"Etude in C-sharp minor, Op. 10 No. 4",863
,,,,864
,,,,865
,,,,866
,,,,867
,,,,868
,,,,869
,,,,870
,,,,871
,,,Overture,872
,,,1. Scherzo: Allegro vivace,873
,,,5. Intermezzo (Entr'acte): Allegro appassionato,874
,,,,875
,,,7. Nocturne: Andante tranquillo,876
,,,9. Wedding March: Allegro vivace,877
,,,,878
,,,,879
,,,,880
,,,,881
,,,,882
,,,,883
,,,"Reveries, Passions (Rêveries — Passions): Allegro agitato e appassionato assai -- Religiosamente",884
,,,A Ball (Un Bal): Valse: Allegro non troppo,885
,,,Scene in the Fields (Scène aux Champs): Adagio,886
,,,March to the Scaffold (Marche au Supplice): Allegretto non troppo,887
,,,,888
,,,"""O mio Fernando,"" Leonora di Gusman (aria)",889
,,,,890
,,,,891
,,,Act I: Prelude,892
,,,"""Selva opaca,"" Matilde (aria), Act II",893
,,,,894
,,,Overture,895
,,,,896
,,,,897
,,,,898
,,,,899
,,,,900
,,,"""Let the Bright Seraphim""",901
,,,,902
,,,,903
,,,,904
,,,,905
,,,,906
,,,,907
,,,"""Der nächtliche Zug""",908
,,,"""Parto, Parto, ma tuo ben mio,"" Sesto, Act I, scene viii",909
,,,,910
,,,,911
,,,,912
,,,,913
,,,,914
,,,Act I: Prelude,915
,,,Allegro,916
,,,,917
,,,,918
,,,,919
,,,,920
,,,,921
,,,,922
,,,,923
,,,,924
,,,,925
,,,Overture,926
,,,Overture,927
,,,"""Deserto in terra,"" Don Sebastiano (aria)",928
,,,,929
,,,,930
,,,,931
,,,"""Il mio tesoro intanto,"" Don ottavio, Act II, scene x",932
,,,,933
,,,,934
,,,,935
,,,,936
,,,,937
,,,"Star-lit night - Capulet's garden, silent and deserted - The young Capulets, leaving the hall, pass by singing fragements of the dance music (Love scene, Adagio)",938
,,,"Queen Mab, or the Fairy of dreams (Scherzo)",939
,,,,940
,,,Etude [Unspecified],941
,,,,942
,,,Overture [Dresden],943
,,,,944
,,,,945
,,,,946
,,,,947
,,,,948
,,,,949
,,,,950
,,,,951
,,,,952
,,,,953
,,,Overture,954
,,,,955
,,,,956
,,,,957
,,,,958
,,,,959
,,,,960
,,,,961
,,,,962
,,,Overture,963
,,,,964
,,,,965
,,,,966
,,,,967
,,,"""Ozean, du Ungeheuer"" (Ocean, thou mighty monster), Reiza (Scene and Aria), Act II",968
,,,,969
,,,Act I: Prelude,970
,,,Giunse alfin il momento...Deh vieni non tardar,971
,,,,972
,,,,973
,,,,974
,,,,975
,,,Allegro ma non troppo,976
,,,,977
,,,Overture,978
,,,1. Scherzo: Allegro vivace,979
,,,5. Intermezzo (Entr'acte): Allegro appassionato,980
,,,7. Nocturne: Andante tranquillo,981
,,,9. Wedding March: Allegro vivace,982
,,,,983
,,,Overture,984
,,,,985
,,,"""Lascia ch'io pianga,"" Almirena (aria)",986
,,,,987
,,,,988
,,,"""Che farò senza Euridice?"" Orfeo (aria)",989
,,,Scene in the Fields (Scène aux Champs): Adagio,990
,,,March to the Scaffold (Marche au Supplice): Allegretto non troppo,991
,,,,992
,,,Allegro ma non troppo,993
,,,,994
,,,Overture,995
,,,,996
,,,,997
,,,,998
,,,,999
,,,,1000
,,,,1001
,,,,1002
,,,,1003
,,,Ouverture,1004
,,,Air,1005
,,,Gavotte I -- Gavotte II -- Gavotte I da capo,1006
,,,Recitative and Aria (unspecified),1007
,,,"""In Fruhn versammelt uns der Ruf,"" (Double Chorus), Die Edlen/Mannen, Act II, scene iii",1008
,,,,1009
,,,,1010
,,,Letter Aria,1011
,,,,1012
,,,,1013
,,,"Fides (aria): ""Ah, mon fils!""",1014
,,,,1015
,,,,1016
,,,,1017
,,,,1018
,,,,1019
,,,Overture,1020
,,,,1021
,,,,1022
,,,,1023
,,,Overture,1024
,,,,1025
,,,,1026
,,,,1027
,,,,1028
,,,,1029
,,,Allegro,1030
,,,,1031
,,,,1032
,,,,1033
,,,,1034
,,,,1035
,,,,1036
,,,,1037
,,,"""Di piacer mi balza cor,"" Ninetta (aria)",1038
,,,,1039
,,,,1040
,,,,1041
,,,Giunse alfin il momento...Deh vieni non tardar,1042
,,,,1043
,,,Overture,1044
,,,,1045
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",1046
,,,,1047
,,,,1048
,,,,1049
,,,,1050
,,,Overture,1051
,,,,1052
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",1053
,,,,1054
,,,,1055
,,,,1056
,,,,1057
,,,,1058
,,,,1059
,,,,1060
,,,,1061
,,,Movement I,1062
,,,Overture,1063
,,,,1064
,,,,1065
,,,Unspecified Chorus,1066
,,,,1067
,,,,1068
,,,"""Ins Heilge Land, ins Palmenland,"" Chorus",1069
,,,Overture,1070
,,,,1071
,,,"""Parto, Parto, ma tuo ben mio,"" Sesto, Act I, scene viii",1072
,,,,1073
,,,,1074
,,,,1075
,,,"Fides (aria): ""Ah, mon fils!""",1076
,,,Overture [Dresden],1077
,,,,1078
,,,Recitative and Aria (unspecified),1079
,,,,1080
,,,,1081
,,,Overture,1082
,,,Unspecified selections,1083
,,,,1084
,,,Allegro con brio,1085
,,,,1086
,,,Overture,1087
,,,Barcarole,1088
,,,,1089
,,,,1090
,,,,1091
,,,,1092
,,,,1093
,,,,1094
,,,,1095
,,,,1096
,,,,1097
,,,,1098
,,,,1099
,,,"Semiramide (cavatina): ""Bel raggio lusinghier""",1100
,,,,1101
,,,,1102
,,,,1103
,,,,1104
,,,,1105
,,,Scherzo,1106
,,,,1107
,,,,1108
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",1109
,,,,1110
,,,,1111
,,,Overture,1112
,,,Marguerite at the Spinning Wheel,1113
,,,,1114
,,,,1115
,,,"""E Susanna non vien ... Dove sono""",1116
,,,Prelude to Act I,1117
,,,,1118
,,,,1119
,,,"""In questo simplice,"" Cavatina",1120
,,,,1121
,,,,1122
,,,Overture,1123
,,,,1124
,,,,1125
,,,,1126
,,,,1127
,,,,1128
,,,"Nun beut die Flur das frische Grun (Now Robed in Cool Refreshing Green, a.k.a. With Verdure Clad)",1129
,,,,1130
,,,,1131
,,,Overture,1132
,,,"""Di quai soavi lagrime,"" Paulina (cavatina)",1133
,,,,1134
,,,,1135
,,,Aria [unspecified],1136
,,,,1137
,,,,1138
,,,,1139
,,,Aria [unspecified],1140
,,,,1141
,,,,1142
,,,,1143
,,,,1144
,,,,1145
,,,,1146
,,,,1147
,,,,1148
,,,,1149
,,,"19. Schlafe, mein Liebster, genieáe der Ruh, Arie",1150
,,,,1151
,,,,1152
,,,,1153
,,,Ich grolle nicht,1154
,,,Und wussten's die Blumen,1155
,,,Aus alten Märchen,1156
,,,,1157
,,,Overture [Dresden],1158
,,,,1159
,,,,1160
,,,,1161
,,,,1162
,,,,1163
,,,,1164
,,,,1165
,,,Allegro ma non troppo,1166
,,,,1167
,,,"Star-lit night - Capulet's garden, silent and deserted - The young Capulets, leaving the hall, pass by singing fragements of the dance music (Love scene, Adagio)",1168
,,,,1169
,,,,1170
,,,,1171
,,,Overture,1172
,,,,1173
,,,"""Hirtengesang"" (Song of the Shepherds at the manger)",1174
,,,,1175
,,,,1176
,,,,1177
,,,,1178
,,,Aria [unspecified],1179
,,,,1180
,,,,1181
,,,,1182
,,,,1183
,,,,1184
,,,"Semiramide (cavatina): ""Bel raggio lusinghier""",1185
,,,,1186
,,,,1187
,,,,1188
,,,,1189
,,,,1190
,,,,1191
,,,,1192
,,,,1193
,,,Scene (Unspecified),1194
,,,,1195
,,,,1196
,,,Prelude,1197
,,,"""O patria!...Tu che accendi questo core…Di tanti palpiti,"" Tancredi (cavatina)",1198
,,,,1199
,,,,1200
,,,"""Wie nahte mir der Schlummer...Leise, leise, fromme Weise,"" Agathe (Scene and Aria), Act II",1201
,,,,1202
,,,,1203
,,,"""Ma la sola,"" Cavatina",1204
,,,,1205
,,,,1206
,,,,1207
,,,,1208
,,,Etude [Unspecified],1209
,,,,1210
,,,,1211
,,,,1212
,,,,1213
,,,,1214
,,,,1215
,,,Adagio,1216
,,,Fugue,1217
,,,,1218
,,,,1219
,,,,1220
,,,"""Che farò senza Euridice?"" Orfeo (aria)",1221
,,,Romance: Larghetto,1222
,,,Rondo: Vivace,1223
,,,,1224
,,,,1225
,,,,1226
,,,,1227
,,,,1228
,,,,1229
,,,,1230
,,,"""En vain J'espère,"" Isabelle (aria), Act II",1231
,,,,1232
,,,,1233
,,,,1234
,,,"""Voi che sapete,"" Cherubino, Act II, scene ii",1235
,,,,1236
,,,,1237
,,,,1238
,,,aria [unspecified],1239
